Product Type,Product Title,Variant Title,Variant ID,SKU,Price,Compare at Price,Wholesale Price
Gemstones,10x8mm Oval White Quartz Fish Intaglio Cabochon Carving,Default Title,40188825731225,098-IN110-Fish,90.00,,30
Gemstones,10x8mm Oval White Topaz Carved Scarab Cabochons,Default Title,40188766978201,172-09210-1,54.00,,18
Gemstones,10x8mm Oval Yellow Citrine Carved Scarab Cabochons,Default Title,40188767076505,120-09210-1,54.00,,18
Gemstones,10x8mm Rose Cut Cushion Arkansas White Quartz,Default Title,40188676800665,098-10910-1,37.80,,12.6
Gemstones,10x8mm Rutilated Quartz Hexagon Tablets,Default Title,40188714647705,106-13410-Heavy,102.60,,34.2
Gemstones,10x8mm SugarLoaf Cabochon Cut Gem Blue Mexican Chalcedony,Default Title,40188758786201,371-09710-1,90.00,,30
Gemstones,10x8mm to 11x9mm Oval Radial Cut Red Zircon,10x8mm,40188872065177,137-30110-1,1445.50,,578.2
Gemstones,10x8mm to 11x9mm Oval Radial Cut Red Zircon,11x9mm,40188872032409,137-30111-1,1741.30,,874
Gemstones,10x8mm to 16x12mm Natural Oval Rose Cut South Dakota Rose Quartz,10x8mm,40188816654489,101-10310-1,63.00,,21
Gemstones,10x8mm to 16x12mm Natural Oval Rose Cut South Dakota Rose Quartz,16x12mm,40188816752793,101-10351-1,120.33,,78.33
Gemstones,10x8mm to 16x12mm Natural Oval Rose Cut South Dakota Rose Quartz,12x10mm,40188816687257,101-10312-1,79.80,,37.8
Gemstones,10x8mm to 16x12mm Natural Oval Rose Cut South Dakota Rose Quartz,14x10mm,40188816720025,101-10315-1,87.15,,45.15
Gemstones,10x8mm to 16x12mm Oval Rose Cut Green Quartz,16x12mm,40188844867737,125-10351-1,400.00,,320
Gemstones,10x8mm to 16x12mm Oval Rose Cut Green Quartz,12x10mm,40188844802201,125-10312-1,172.00,,92
Gemstones,10x8mm to 16x12mm Oval Rose Cut Green Quartz,10x8mm,40188844769433,125-10310-1,120.00,,40
Gemstones,10x8mm to 16x12mm Oval Rose Cut Green Quartz,14x10mm,40188844834969,125-10315-1,224.00,,144
Gemstones,10x8mm to 18x13mm Oval Cabochon Cut Gem Blue Mexican Chalcedony,18x13mm,40188761440409,371-09552-1,161.00,,115
Gemstones,10x8mm to 18x13mm Oval Cabochon Cut Gem Blue Mexican Chalcedony,12x10mm,40188761342105,371-09512-1,87.00,,41
Gemstones,10x8mm to 18x13mm Oval Cabochon Cut Gem Blue Mexican Chalcedony,14x10mm,40188761374873,371-09515-1,94.00,,48
Gemstones,10x8mm to 18x13mm Oval Cabochon Cut Gem Blue Mexican Chalcedony,16x12mm,40188761407641,371-09551-1,125.00,,79
Gemstones,10x8mm to 18x13mm Oval Cabochon Cut Gem Blue Mexican Chalcedony,10x8mm,40188761309337,371-09510-1,69.00,,23
Gemstones,10x8mm to 20x15mm Natural Oval Cabochon Cut South Dakota Rose Quartz,10x8mm,40188915450009,101-09510-1,25.50,,8.5
Gemstones,10x8mm to 20x15mm Natural Oval Cabochon Cut South Dakota Rose Quartz,20x15mm,40188915581081,101-09553-1,64.60,,47.6
Gemstones,10x8mm to 20x15mm Natural Oval Cabochon Cut South Dakota Rose Quartz,18x13mm,40188915548313,101-09552-1,51.00,,34
Gemstones,10x8mm to 20x15mm Natural Oval Cabochon Cut South Dakota Rose Quartz,16x12mm,40188915515545,101-09551-1,38.25,,21.25
Gemstones,10x8mm to 20x15mm Natural Oval Cabochon Cut South Dakota Rose Quartz,12x10mm,40188915482777,101-09512-1,30.00,,13
Gemstones,10x8 to 14x10mm Bronze Sapphire Hexagon Tablets,10x8mm,40188914499737,030-13410-1,259.20,,86.4
Gemstones,10x8 to 14x10mm Bronze Sapphire Hexagon Tablets,10x10mm,40188914565273,030-13491-BK,305.40,,132.6
Gemstones,10x8 to 14x10mm Bronze Sapphire Hexagon Tablets,14x10mm,40188914532505,030-13415-1,324.00,,151.2
Gemstones,10x8 to 14x10mm Cushion Rose Cut Gem Blue Mexican Chalcedony,10x8mm,40188759670937,371-10910-1,120.00,,40
Gemstones,10x8 to 14x10mm Cushion Rose Cut Gem Blue Mexican Chalcedony,14x10mm,40188759736473,371-10915-1,173.00,,93
